年 月 日 时 气温 露点温度 海平面压力 风向 风速 天气条件覆盖代码 液体沉淀深度(一小时) 液体沉淀深度(六小时)
2020 01 16 04   160   110 -9999   130    30 -9999 -9999 -9999
2020 01 16 05   170   110 -9999   100    30 -9999 -9999 -9999
2020 01 16 06   201   116 10170    70    10     7 -9999     0
2020 01 16 07   170   110 -9999    70    40 -9999 -9999 -9999
2020 01 16 08   160   120 -9999    70    40 -9999 -9999 -9999
2020 01 16 09   177   123 10174   160    11     7 -9999 -9999
2020 01 16 10   140   120 -9999    50    50 -9999 -9999 -9999
2020 01 16 11   140   120 -9999    50    60 -9999 -9999 -9999
2020 01 16 12   146   121 10200   170    20     8 -9999     0
2020 01 16 13   140   110 -9999    50    70 -9999 -9999 -9999
2020 01 16 14   140   110 -9999    40    70 -9999 -9999 -9999
2020 01 16 15   135   126 10210   152     8 -9999 -9999     1
2020 01 16 16   140   100 -9999    50    60 -9999 -9999 -9999
2020 01 16 17   130   110 -9999    50    60 -9999 -9999 -9999
2020 01 16 18   118   105 10211   270    30 -9999 -9999    20
2020 01 16 19   130   110 -9999    40    30 -9999 -9999 -9999
2020 01 16 20   130   110 -9999    40    50 -9999 -9999 -9999
2020 01 16 21   115    91 10214   326    30 -9999 -9999    23
2020 01 16 22   130   100 -9999    50    50 -9999 -9999 -9999
2020 01 16 23   130   100 -9999    50    70 -9999 -9999 -9999
2020 01 17 00   101    82 10234   310    40     8 -9999    10
2020 01 17 01   130   100 -9999    40    60 -9999 -9999 -9999
2020 01 17 02   130   100 -9999    60    60 -9999 -9999 -9999
2020 01 17 03   112    83 10242   321    22     8 -9999     9
2020 01 17 04   130    90 -9999    60    60 -9999 -9999 -9999
2020 01 17 05   130    90 -9999    50    60 -9999 -9999 -9999
2020 01 17 06   123    76 10216   310    20     8 -9999     1
2020 01 17 07   130    80 -9999    50    60 -9999 -9999 -9999
2020 01 17 08   130    80 -9999    50    60 -9999 -9999 -9999
2020 01 17 09   111    94 10223   146    28     8 -9999 -9999
2020 01 17 10   120    80 -9999    50    60 -9999 -9999 -9999
2020 01 17 11   120    70 -9999    30    50 -9999 -9999 -9999
2020 01 17 12   102    91 10240    80    10     8 -9999     2
2020 01 17 13   120    70 -9999    40    60 -9999 -9999 -9999
2020 01 17 14   120    70 -9999    40    60 -9999 -9999 -9999
2020 01 17 15    97    92 10244   313    13 -9999 -9999     6
2020 01 17 16   120    60 -9999    40    50 -9999 -9999 -9999
2020 01 17 17   120    50 -9999    40    60 -9999 -9999 -9999
2020 01 17 18    89    86 10239   360    10 -9999 -9999    50
2020 01 17 19   110    50 -9999    50    50 -9999 -9999 -9999
2020 01 17 20   110    50 -9999    40    60 -9999 -9999 -9999
2020 01 17 21    82    79 10227   165    12 -9999 -9999    56
2020 01 17 22   110    50 -9999    40    60 -9999 -9999 -9999
2020 01 17 23   110    50 -9999    40    60 -9999 -9999 -9999
2020 01 18 00    81    72 10248   350    10     8 -9999     9
2020 01 18 01   110    50 -9999    40    70 -9999 -9999 -9999
2020 01 18 02   110    50 -9999    40    70 -9999 -9999 -9999
2020 01 18 03    92    54 10249   325    12     0 -9999     1
2020 01 18 04   120    40 -9999    40    60 -9999 -9999 -9999
2020 01 18 05   110    40 -9999    40    70 -9999 -9999 -9999
2020 01 18 06    97    47 10226    60    20     8 -9999    -1
2020 01 18 07   110    50 -9999    40    70 -9999 -9999 -9999
2020 01 18 08   110    50 -9999    40    60 -9999 -9999 -9999
2020 01 18 09    92    45 10224   342    13     8 -9999 -9999
2020 01 18 10   100    50 -9999    30    50 -9999 -9999 -9999
2020 01 18 11   110    50 -9999    30    40 -9999 -9999 -9999
2020 01 18 12    84    48 10238    30    30     8 -9999     1
2020 01 18 13   100    70 -9999    30    40 -9999 -9999 -9999
2020 01 18 14   100    70 -9999    20    40 -9999 -9999 -9999
2020 01 18 15    85    55 10237   325     3 -9999 -9999     1
2020 01 18 16   100    60 -9999    20    40 -9999 -9999 -9999
2020 01 18 17   100    60 -9999   350    20 -9999 -9999 -9999
2020 01 18 18    72    66 10237   310    20 -9999 -9999    20
2020 01 18 19    90    60 -9999   320    20 -9999 -9999 -9999
2020 01 18 20    90    70 -9999 -9999    10 -9999 -9999 -9999
2020 01 18 21    72    66 10230   304    18 -9999 -9999    21
2020 01 18 22    90    70 -9999 -9999    10 -9999 -9999 -9999
2020 01 18 23    90    70 -9999   320    20 -9999 -9999 -9999
2020 01 19 00    84    75 10245   310    10     7 -9999     1
2020 01 19 01   110    80 -9999 -9999    10 -9999 -9999 -9999
